# rtl_cycle_trace time_ps	tag	message
158000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
162000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
162000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
162000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
162000	S3_WTB_WR	addr=6 d0=43 d1=43
162000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
166000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
166000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
166000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
166000	S3_WTB_WR	addr=7 d0=124 d1=124
166000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
170000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
170000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
170000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
170000	S3_WTB_WR	addr=8 d0=-121 d1=-121
170000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
174000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
174000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
174000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
174000	S3_WTB_WR	addr=9 d0=-25 d1=-25
174000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
178000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
178000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
178000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
178000	S3_WTB_WR	addr=10 d0=3 d1=3
178000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
182000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
182000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
182000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
182000	S3_WTB_WR	addr=11 d0=-127 d1=-127
182000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
186000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
186000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
186000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
186000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
190000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
190000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
190000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
190000	S3_WTB_WR	addr=0 d0=3 d1=3
190000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
194000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
194000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
194000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
194000	S3_WTB_WR	addr=1 d0=-40 d1=-40
194000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
198000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
198000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
198000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
198000	S3_WTB_WR	addr=2 d0=-69 d1=-69
198000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
202000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
202000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
202000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
202000	S3_WTB_WR	addr=3 d0=1 d1=1
202000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
206000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
206000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
206000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
206000	S3_WTB_WR	addr=4 d0=-45 d1=-45
206000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
210000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
210000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
